i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
297,1000,100,10,4,DefaultMultiplierJIK,4,1878.500000,62.743526
298,1000,100,10,4,Collapse2Multiplier,4,1368.750000,84.366760
299,1000,100,10,4,Collapse3Multiplier,4,1736.250000,24.233242
300,1000,100,10,4,DefaultMultiplierIJKTranspose,4,1831.750000,31.587181
301,1000,100,10,4,DefaultMultiplierIJKTransposeCached,4,1388.000000,38.736286
302,1000,100,10,16,DefaultMultiplierIJK,4,1322.500000,337.849457
303,1000,100,10,16,DefaultMultiplierIJKCached,4,972.000000,80.265182
304,1000,100,10,16,DefaultMultiplierJIK,4,1263.000000,63.107052
305,1000,100,10,16,Collapse2Multiplier,4,915.250000,64.243187
306,1000,100,10,16,Collapse3Multiplier,4,1048.750000,16.710775
307,1000,100,10,16,DefaultMultiplierIJKTranspose,4,1114.500000,27.299267
308,1000,100,10,16,DefaultMultiplierIJKTransposeCached,4,855.500000,36.086700
309,1000,100,100,4,DefaultMultiplierIJK,4,17717.000000,128.374451
310,1000,100,100,4,DefaultMultiplierIJKCached,4,10372.500000,1461.470459
311,1000,100,100,4,DefaultMultiplierJIK,4,13470.750000,180.621155
312,1000,100,100,4,Collapse2Multiplier,4,9478.500000,8.000000
313,1000,100,100,4,Collapse3Multiplier,4,14071.250000,187.744507
314,1000,100,100,4,DefaultMultiplierIJKTranspose,4,14449.500000,108.369736
315,1000,100,100,4,DefaultMultiplierIJKTransposeCached,4,9328.000000,188.170135
316,1000,100,100,16,DefaultMultiplierIJK,4,13308.000000,267.013123
317,1000,100,100,16,DefaultMultiplierIJKCached,4,8787.750000,443.414032
318,1000,100,100,16,DefaultMultiplierJIK,4,11909.000000,759.652527
319,1000,100,100,16,Collapse2Multiplier,4,7650.000000,254.801880
320,1000,100,100,16,Collapse3Multiplier,4,11924.500000,515.658813
321,1000,100,100,16,DefaultMultiplierIJKTranspose,4,11443.500000,305.260559
322,1000,100,100,16,DefaultMultiplierIJKTransposeCached,4,8029.000000,461.857117
323,1000,100,1000,4,DefaultMultiplierIJK,4,181950.500000,20246.265625
324,1000,100,1000,4,DefaultMultiplierIJKCached,4,145999.000000,9345.643555
325,1000,100,1000,4,DefaultMultiplierJIK,4,178935.500000,24211.505859
326,1000,100,1000,4,Collapse2Multiplier,4,137327.500000,15172.252930
327,1000,100,1000,4,Collapse3Multiplier,4,147920.500000,2131.305664
328,1000,100,1000,4,DefaultMultiplierIJKTranspose,4,164959.000000,23899.394531
329,1000,100,1000,4,DefaultMultiplierIJKTransposeCached,4,89877.500000,858.351929
330,1000,100,1000,16,DefaultMultiplierIJK,4,127916.750000,4412.752441
331,1000,100,1000,16,DefaultMultiplierIJKCached,4,88996.000000,2338.409668
332,1000,100,1000,16,DefaultMultiplierJIK,4,125609.750000,3506.884766
333,1000,100,1000,16,Collapse2Multiplier,4,87816.750000,1452.038574
334,1000,100,1000,16,Collapse3Multiplier,4,129101.000000,5961.369141
335,1000,100,1000,16,DefaultMultiplierIJKTranspose,4,118634.250000,3151.959473
336,1000,100,1000,16,DefaultMultiplierIJKTransposeCached,4,85534.000000,1290.556519
337,1000,1000,10,4,DefaultMultiplierIJK,4,15012.000000,1980.916992
338,1000,1000,10,4,DefaultMultiplierIJKCached,4,11315.000000,1561.750244
339,1000,1000,10,4,DefaultMultiplierJIK,4,14318.250000,37.947330
340,1000,1000,10,4,Collapse2Multiplier,4,9687.750000,66.392769
341,1000,1000,10,4,Collapse3Multiplier,4,15385.250000,2227.209961
342,1000,1000,10,4,DefaultMultiplierIJKTranspose,4,15755.750000,1836.483643
343,1000,1000,10,4,DefaultMultiplierIJKTransposeCached,4,12331.000000,1603.984985
344,1000,1000,10,16,DefaultMultiplierIJK,4,12994.250000,787.583618
345,1000,1000,10,16,DefaultMultiplierIJKCached,4,9822.500000,1148.135864
346,1000,1000,10,16,DefaultMultiplierJIK,4,14214.500000,758.324463
347,1000,1000,10,16,Collapse2Multiplier,4,8908.250000,254.825424
348,1000,1000,10,16,Collapse3Multiplier,4,12061.500000,361.419434
349,1000,1000,10,16,DefaultMultiplierIJKTranspose,4,12995.500000,1470.178223
350,1000,1000,10,16,DefaultMultiplierIJKTransposeCached,4,8673.000000,257.790619
351,1000,1000,100,4,DefaultMultiplierIJK,4,212808.000000,18827.968750
352,1000,1000,100,4,DefaultMultiplierIJKCached,4,132819.500000,10344.368164
353,1000,1000,100,4,DefaultMultiplierJIK,4,177455.250000,3292.425293
354,1000,1000,100,4,Collapse2Multiplier,4,130187.000000,13794.301758
355,1000,1000,100,4,Collapse3Multiplier,4,182679.250000,8828.869141
356,1000,1000,100,4,DefaultMultiplierIJKTranspose,4,177232.750000,14825.776367
357,1000,1000,100,4,DefaultMultiplierIJKTransposeCached,4,131975.000000,6346.980469
358,1000,1000,100,16,DefaultMultiplierIJK,4,131691.750000,4078.462402
359,1000,1000,100,16,DefaultMultiplierIJKCached,4,104238.500000,4852.196289
360,1000,1000,100,16,DefaultMultiplierJIK,4,137133.750000,11892.725586
361,1000,1000,100,16,Collapse2Multiplier,4,96886.250000,10251.493164
